Date,Close
2020-04-20 00:00:00-04:00,2823.159912109375
2020-04-21 00:00:00-04:00,2736.56005859375
2020-04-22 00:00:00-04:00,2799.31005859375
2020-04-23 00:00:00-04:00,2797.800048828125
2020-04-24 00:00:00-04:00,2836.739990234375
2020-04-27 00:00:00-04:00,2878.47998046875
2020-04-28 00:00:00-04:00,2863.389892578125
2020-04-29 00:00:00-04:00,2939.510009765625
2020-04-30 00:00:00-04:00,2912.429931640625
2020-05-01 00:00:00-04:00,2830.7099609375
2020-05-04 00:00:00-04:00,2842.739990234375
2020-05-05 00:00:00-04:00,2868.43994140625
2020-05-06 00:00:00-04:00,2848.419921875
2020-05-07 00:00:00-04:00,2881.18994140625
2020-05-08 00:00:00-04:00,2929.800048828125
2020-05-11 00:00:00-04:00,2930.18994140625
2020-05-12 00:00:00-04:00,2870.1201171875
2020-05-13 00:00:00-04:00,2820.0
2020-05-14 00:00:00-04:00,2852.5
2020-05-15 00:00:00-04:00,2863.699951171875
2020-05-18 00:00:00-04:00,2953.909912109375
2020-05-19 00:00:00-04:00,2922.93994140625
2020-05-20 00:00:00-04:00,2971.610107421875
2020-05-21 00:00:00-04:00,2948.510009765625
2020-05-22 00:00:00-04:00,2955.449951171875
2020-05-26 00:00:00-04:00,2991.77001953125
2020-05-27 00:00:00-04:00,3036.1298828125
2020-05-28 00:00:00-04:00,3029.72998046875
2020-05-29 00:00:00-04:00,3044.31005859375
2020-06-01 00:00:00-04:00,3055.72998046875
2020-06-02 00:00:00-04:00,3080.820068359375
2020-06-03 00:00:00-04:00,3122.8701171875
2020-06-04 00:00:00-04:00,3112.35009765625
2020-06-05 00:00:00-04:00,3193.929931640625
2020-06-08 00:00:00-04:00,3232.389892578125
2020-06-09 00:00:00-04:00,3207.179931640625
2020-06-10 00:00:00-04:00,3190.139892578125
2020-06-11 00:00:00-04:00,3002.10009765625
2020-06-12 00:00:00-04:00,3041.31005859375
2020-06-15 00:00:00-04:00,3066.590087890625
2020-06-16 00:00:00-04:00,3124.739990234375
2020-06-17 00:00:00-04:00,3113.489990234375
2020-06-18 00:00:00-04:00,3115.340087890625
2020-06-19 00:00:00-04:00,3097.739990234375
2020-06-22 00:00:00-04:00,3117.860107421875
2020-06-23 00:00:00-04:00,3131.2900390625
2020-06-24 00:00:00-04:00,3050.330078125
2020-06-25 00:00:00-04:00,3083.760009765625
2020-06-26 00:00:00-04:00,3009.050048828125
2020-06-29 00:00:00-04:00,3053.239990234375
2020-06-30 00:00:00-04:00,3100.2900390625
2020-07-01 00:00:00-04:00,3115.860107421875
2020-07-02 00:00:00-04:00,3130.010009765625
2020-07-06 00:00:00-04:00,3179.719970703125
2020-07-07 00:00:00-04:00,3145.320068359375
2020-07-08 00:00:00-04:00,3169.93994140625
2020-07-09 00:00:00-04:00,3152.050048828125
2020-07-10 00:00:00-04:00,3185.0400390625
2020-07-13 00:00:00-04:00,3155.219970703125
2020-07-14 00:00:00-04:00,3197.52001953125
2020-07-15 00:00:00-04:00,3226.56005859375
2020-07-16 00:00:00-04:00,3215.570068359375
2020-07-17 00:00:00-04:00,3224.72998046875
2020-07-20 00:00:00-04:00,3251.840087890625
2020-07-21 00:00:00-04:00,3257.300048828125
2020-07-22 00:00:00-04:00,3276.02001953125
2020-07-23 00:00:00-04:00,3235.659912109375
2020-07-24 00:00:00-04:00,3215.6298828125
2020-07-27 00:00:00-04:00,3239.409912109375
2020-07-28 00:00:00-04:00,3218.43994140625
2020-07-29 00:00:00-04:00,3258.43994140625
2020-07-30 00:00:00-04:00,3246.219970703125
2020-07-31 00:00:00-04:00,3271.1201171875
2020-08-03 00:00:00-04:00,3294.610107421875
2020-08-04 00:00:00-04:00,3306.510009765625
2020-08-05 00:00:00-04:00,3327.77001953125
2020-08-06 00:00:00-04:00,3349.159912109375
2020-08-07 00:00:00-04:00,3351.280029296875
2020-08-10 00:00:00-04:00,3360.469970703125
2020-08-11 00:00:00-04:00,3333.68994140625
2020-08-12 00:00:00-04:00,3380.35009765625
2020-08-13 00:00:00-04:00,3373.429931640625
2020-08-14 00:00:00-04:00,3372.85009765625
2020-08-17 00:00:00-04:00,3381.989990234375
2020-08-18 00:00:00-04:00,3389.780029296875
2020-08-19 00:00:00-04:00,3374.85009765625
2020-08-20 00:00:00-04:00,3385.510009765625
2020-08-21 00:00:00-04:00,3397.159912109375
2020-08-24 00:00:00-04:00,3431.280029296875
2020-08-25 00:00:00-04:00,3443.6201171875
2020-08-26 00:00:00-04:00,3478.72998046875
2020-08-27 00:00:00-04:00,3484.550048828125
2020-08-28 00:00:00-04:00,3508.010009765625
2020-08-31 00:00:00-04:00,3500.31005859375
2020-09-01 00:00:00-04:00,3526.64990234375
2020-09-02 00:00:00-04:00,3580.840087890625
2020-09-03 00:00:00-04:00,3455.06005859375
2020-09-04 00:00:00-04:00,3426.9599609375
2020-09-08 00:00:00-04:00,3331.840087890625
2020-09-09 00:00:00-04:00,3398.9599609375
2020-09-10 00:00:00-04:00,3339.18994140625
2020-09-11 00:00:00-04:00,3340.969970703125
2020-09-14 00:00:00-04:00,3383.5400390625
2020-09-15 00:00:00-04:00,3401.199951171875
2020-09-16 00:00:00-04:00,3385.489990234375
2020-09-17 00:00:00-04:00,3357.010009765625
2020-09-18 00:00:00-04:00,3319.469970703125
2020-09-21 00:00:00-04:00,3281.06005859375
2020-09-22 00:00:00-04:00,3315.570068359375
2020-09-23 00:00:00-04:00,3236.919921875
2020-09-24 00:00:00-04:00,3246.590087890625
2020-09-25 00:00:00-04:00,3298.4599609375
2020-09-28 00:00:00-04:00,3351.60009765625
2020-09-29 00:00:00-04:00,3335.469970703125
2020-09-30 00:00:00-04:00,3363.0
2020-10-01 00:00:00-04:00,3380.800048828125
2020-10-02 00:00:00-04:00,3348.419921875
2020-10-05 00:00:00-04:00,3408.60009765625
2020-10-06 00:00:00-04:00,3360.969970703125
2020-10-07 00:00:00-04:00,3419.43994140625
2020-10-08 00:00:00-04:00,3446.830078125
2020-10-09 00:00:00-04:00,3477.139892578125
2020-10-12 00:00:00-04:00,3534.219970703125
2020-10-13 00:00:00-04:00,3511.929931640625
2020-10-14 00:00:00-04:00,3488.669921875
2020-10-15 00:00:00-04:00,3483.340087890625
2020-10-16 00:00:00-04:00,3483.81005859375
2020-10-19 00:00:00-04:00,3426.919921875
2020-10-20 00:00:00-04:00,3443.1201171875
2020-10-21 00:00:00-04:00,3435.56005859375
2020-10-22 00:00:00-04:00,3453.489990234375
2020-10-23 00:00:00-04:00,3465.389892578125
2020-10-26 00:00:00-04:00,3400.969970703125
2020-10-27 00:00:00-04:00,3390.679931640625
2020-10-28 00:00:00-04:00,3271.030029296875
2020-10-29 00:00:00-04:00,3310.110107421875
2020-10-30 00:00:00-04:00,3269.9599609375
2020-11-02 00:00:00-05:00,3310.239990234375
2020-11-03 00:00:00-05:00,3369.159912109375
2020-11-04 00:00:00-05:00,3443.43994140625
2020-11-05 00:00:00-05:00,3510.449951171875
2020-11-06 00:00:00-05:00,3509.43994140625
2020-11-09 00:00:00-05:00,3550.5
2020-11-10 00:00:00-05:00,3545.530029296875
2020-11-11 00:00:00-05:00,3572.659912109375
2020-11-12 00:00:00-05:00,3537.010009765625
2020-11-13 00:00:00-05:00,3585.14990234375
2020-11-16 00:00:00-05:00,3626.909912109375
2020-11-17 00:00:00-05:00,3609.530029296875
2020-11-18 00:00:00-05:00,3567.7900390625
2020-11-19 00:00:00-05:00,3581.8701171875
2020-11-20 00:00:00-05:00,3557.5400390625
2020-11-23 00:00:00-05:00,3577.590087890625
2020-11-24 00:00:00-05:00,3635.409912109375
2020-11-25 00:00:00-05:00,3629.64990234375
2020-11-27 00:00:00-05:00,3638.35009765625
2020-11-30 00:00:00-05:00,3621.6298828125
2020-12-01 00:00:00-05:00,3662.449951171875
2020-12-02 00:00:00-05:00,3669.010009765625
2020-12-03 00:00:00-05:00,3666.719970703125
2020-12-04 00:00:00-05:00,3699.1201171875
2020-12-07 00:00:00-05:00,3691.9599609375
2020-12-08 00:00:00-05:00,3702.25
2020-12-09 00:00:00-05:00,3672.820068359375
2020-12-10 00:00:00-05:00,3668.10009765625
2020-12-11 00:00:00-05:00,3663.4599609375
2020-12-14 00:00:00-05:00,3647.489990234375
2020-12-15 00:00:00-05:00,3694.6201171875
2020-12-16 00:00:00-05:00,3701.169921875
2020-12-17 00:00:00-05:00,3722.47998046875
2020-12-18 00:00:00-05:00,3709.409912109375
2020-12-21 00:00:00-05:00,3694.919921875
2020-12-22 00:00:00-05:00,3687.260009765625
2020-12-23 00:00:00-05:00,3690.010009765625
2020-12-24 00:00:00-05:00,3703.06005859375
2020-12-28 00:00:00-05:00,3735.360107421875
2020-12-29 00:00:00-05:00,3727.0400390625
2020-12-30 00:00:00-05:00,3732.0400390625
2020-12-31 00:00:00-05:00,3756.070068359375
2021-01-04 00:00:00-05:00,3700.64990234375
2021-01-05 00:00:00-05:00,3726.860107421875
2021-01-06 00:00:00-05:00,3748.139892578125
2021-01-07 00:00:00-05:00,3803.7900390625
2021-01-08 00:00:00-05:00,3824.679931640625
2021-01-11 00:00:00-05:00,3799.610107421875
2021-01-12 00:00:00-05:00,3801.18994140625
2021-01-13 00:00:00-05:00,3809.840087890625
2021-01-14 00:00:00-05:00,3795.5400390625
2021-01-15 00:00:00-05:00,3768.25
2021-01-19 00:00:00-05:00,3798.909912109375
2021-01-20 00:00:00-05:00,3851.85009765625
2021-01-21 00:00:00-05:00,3853.070068359375
2021-01-22 00:00:00-05:00,3841.469970703125
2021-01-25 00:00:00-05:00,3855.360107421875
